Product Name,Category,Specification,Price,Detailed Features
"Lenovo Chromebook 100e G4 11.6"" HD",computers/laptops,Intel N100 - 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty - Te Reo,379.5,"Enter the world of limitless learning
The 11.6"" Lenovo 100e Chromebook Gen 4 boots up in mere seconds, letting you dive into tasks instantly. Powered by the Intel® N Series processor, this cloud-based device offers an HD camera and Waves Tuning for crystal-clear audio - perfect for video calls and hybrid learning. All-day battery life helps to keep you productive on the go, maximizing time in and out of the classroom. Plus, the touchscreen brings more versatility. Whether you need to tutor, work around assignments, or spend long hours researching, this Chromebook is ideal at home, school, or anywhere."
"HP Remanufactured Chromebook 14A-NA0702DS 14"" HD Intel Celeron N4120 - 4GB RAM - 128GB eMMC",computers/laptops,- ChromeOS - 1yr warranty - AC WiFi 5 + BT5 - Webcam,391,
"HP Chromebook 11 G10 11.6"" HD",computers/laptops,Intel N100 - 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty - AX WiFi 6E + BT5.3 - Webcam - USB C (PD & DP),402.5,
"ASUS Chromebook CX1400CKA 14"" FHD",computers/laptops,Intel Celeron N4500 - 4GB RAM - 64GB eMMC - ChromeOS - AX WiFi 6 + BT5.2 - Webcam - USB-C (PD & DP) - MicroSD Reader,402.5,"ASUS Chromebook CX1 - Get more done every day, from anywhere
ASUS Chromebook CX1 is made for boosting productivity and having more fun while on the move - all day, every day. This lightweight, ultraportable device is powered by a dual-core Intel® processor and gives you the freedom of up to 12-hour battery life. The slim-bezel design fits more screen into the compact chassis for easy multitasking and incredibly immersive entertainment, and the device is your gateway to the best of Google, including the rich library of apps for work or play on Google Play. With smooth performance, robust security and convenient features, ASUS Chromebook CX1 is not only perfect for students - it's ideal for anyone on the go!"
"HP Chromebook 11 G10 11.6"" HD",computers/laptops,Intel N100 - 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty - AX WiFi 6E + BT5.3 - Webcam -USB C (PD & DP),402.5,
"Lenovo IdeaPad 3 Chromebook 15IJL6 15.6"" FHD Intel Celeron N4500 - 4GB RAM - 64GB eMMC - ChromeOS",computers/laptops,- AX WiFi 6 + BT5.2 - Webcam - USB-C (with PD & DP1.4) - HDMI1.4 - MiscroSD Reader,402.5,"Multitask at full power
Work, play, and multitask to your heart's content on the IdeaPad 3i Chromebook Gen 6 (15"" Intel) with a quick and nimble system that's packed with more performance than ever thanks to the Intel® Celeron® and Pentium® processors and bountiful memory and storage options. And with a battery that lasts all day, you can enjoy this power anywhere you want.
  Made for ease of use
Enjoy more screen real estate with narrow bezels on the 15.6? IdeaPad 3i Chromebook Gen 6 with an FHD display that's easy to share with friends."
"ASUS Chromebook CX1400CKA 14"" FHD Te Reo & Maori Keyboard",computers/laptops,Intel Celeron N4500 - 4GB RAM - 64GB eMMC - ChromeOS - AX WiFi 6 + BT5.2 - Webcam - USB-C (PD & DP) - MicroSD Reader,402.5,"ASUS Chromebook CX1 - Get more done every day, from anywhere
ASUS Chromebook CX1 is made for boosting productivity and having more fun while on the move - all day, every day. This lightweight, ultraportable device is powered by a dual-core Intel® processor and gives you the freedom of up to 12-hour battery life. The slim-bezel design fits more screen into the compact chassis for easy multitasking and incredibly immersive entertainment, and the device is your gateway to the best of Google, including the rich library of apps for work or play on Google Play. With smooth performance, robust security and convenient features, ASUS Chromebook CX1 is not only perfect for students - it's ideal for anyone on the go!"
"HP Chromebook 11 G10 11.6"" HD Te Reo & Maori Keyboard",computers/laptops,Intel N100 - 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty - USB C (PD & DP),402.5,
"Acer Chromebook C734 11.6"" HD",computers/laptops,Intel Celeron N4500 - 4GB RAM - 32GB eMMC - ChromeOS - AC WiFi 5 - Webcam - 1Y Warranty,414,"Acer Chromebook 511
Start thinking outside the box with the Acer Chromebook 511. Not only is this Chromebook one of the best laptops for students on the market today, but it also comes with a unique OceanGlass™ touchpad that helps reduce waste in the environment. Students will stay engaged and ready to achieve more in the classroom with a state-of-the-art processor, military durability, and long battery life.
  Futureproof Processing
Enjoy a long battery life and responsive software thanks to the latest Intel® processor. The extra boost of performance makes classroom projects run smoother so that tasks finish quicker."
"Acer Chromebook C734 11.6"" HD",computers/laptops,Intel Celeron N4500 - 4GB RAM - 32GB eMMC - ChromeOS - AC WiFi 5 - Webcam - 3Y Warranty,439.3,"Acer Chromebook 511
Start thinking outside the box with the Acer Chromebook 511. Not only is this Chromebook one of the best laptops for students on the market today, but it also comes with a unique OceanGlass™ touchpad that helps reduce waste in the environment. Students will stay engaged and ready to achieve more in the classroom with a state-of-the-art processor, military durability, and long battery life.
  Futureproof Processing
Enjoy a long battery life and responsive software thanks to the latest Intel® processor. The extra boost of performance makes classroom projects run smoother so that tasks finish quicker."
"HP 14s-dq3128TU 14"" HD",computers/laptops,Intel Celeron N4500 - 4GB RAM - 128GB SSD - Win 11 Home in S mode - 1Y Warranty - AC WiFi 5 + BT5.0 - USB-C (Data Only) - HDMI1.4b,442.26,
"Acer Chromebook 315 CB315-4H-C7A1 15.6"" FHD",computers/laptops,Intel Celeron N4020 - 4GB RAM - 64GB eMMC- ChromeOS - 1Y RTB Warranty,448.5,"Acer Chromebook 315
Designed for a mobile life, this 15"" anti-glare Chromebook™ with narrow 9.5mm bezels provides a larger screen for getting more done. Through the inclusion of a dedicated number pad, a fast CPU and long battery life - it works longer and is more powerful than before.
  Futureproof Processing
Low power usage and responsive software are provided by the latest Intel® processor. The extra performance makes highly graphical classroom projects run smoother so tasks are performed quicker."
"HP 14-dq0760dx 14"" HD Intel Celeron N4120 - 4GB RAM - 128GB eMMC - Win 11 Home S Mode",computers/laptops,- AC WiFi 5 + BT5 - Webcam - USB-C (Data only) - HDMI1.4b,471.5,
"Lenovo IdeaPad 1 14IGL7 14"" HD",computers/laptops,Intel Celeron N4020 - 4GB RAM - 128GB eMMC - Win 11 Home S Mode - AX WiFi 6 + BT5.2 - USB-C - HDMI1.4b - Card Reader - 1Y Warranty - Abyss Blue,483,"Built for travel
At only 14 inches and weighing in at 1.4kg / 3.09lbs, the IdeaPad 1 can go anywhere. Enjoy all of this laptop's features on a plane, train, bus, or boat, it won't get in anyone's way. With a battery that lasts up to 8 hours*, you'll be set for the whole day.
*All battery life claims are approximate and based on test results using the MobileMark® 2014 ver 1.5 battery life benchmark test. Actual results will vary, and depend on numerous factors including product configuration and usage, software, operating conditions, wireless functionality, power management settings, screen brightness and other factors. The maximum capacity of the battery will naturally decrease with time and usage.
Small size, big productivity"
"Acer Chromebook 315 CB315-3H-C69K 15.6"" HD",computers/laptops,Intel Celeron N4020 - 4GB RAM - 64GB SSD - ChromeOS - AC WiFi + BT5.0 - Webcam - USB-C (with PD & DP) - Backlit Keyboard,494.5,"Designed for a mobile life, this 15"" anti-glare Chromebook™ with narrow 9.5mm bezels provides a larger screen for getting more done. Through the inclusion of a dedicated number pad, a fast CPU and long battery life - it works longer and is more powerful than before.
Futureproof Processing
Low power usage and responsive software are provided by the latest Intel® processor. The extra performance makes highly graphical classroom projects run smoother so tasks are performed quicker.
Comfortable Use and Speed"
"ASUS E510KA-EJ072WS 15.6"" FHD Intel Celeron N4500 - 4GB RAM - 128GB eMMC - Win 11 Home S Mode",computers/laptops,- AC WiFi 5 + BT5.1 - Webcam - USB-C - HDMI1.4 - 1Y Warranty,512,"Life is all about finding the right balance, and Vivobook Go 15 delivers just that. Lightweight and compact, it sports a stylish new look that fits right in with your dynamic lifestyle. Designed for daily computing and productivity tasks, and boasting innovative features such as ASUS NumberPad, Vivobook Go 15 gives you everything you need for work or play.
MyASUS
- AppDeals
- System diagnosis
- Battery health charging
- Splendid
- Tru2Life
- Function key lock
- WiFi SmartConnect"
"Lenovo Chromebook 500e G3 Flip 2in1 Laptop 11.6"" HD Touch",computers/laptops,Intel Celeron N5100 - 4GB RAM - 64GB eMMC - ChromeOS - 1yr Warranty - AX Wi-Fi 6 + BT5.1 - Webcam - USB-C (with PD & DP1.2) - HDMI1.4b - MicroSD Reader - with USI Pen (Garaged),540.5,"Convertible creativity
The 11 inch Lenovo 500e Chromebook Gen 3 (Intel) works in four flexible modes-laptop, tablet, tent, and stand. Its 360-degree hinge makes it easy for a student to convert to whichever mode is best for their learning style or for the lesson at hand. Dual cameras-including an optional 5MP world-facing one-enable students to create and share content and stay connected in more meaningful ways.
  Hands-on learning
The 500e Chromebook's 11.6 inch HD IPS touch display provides a tactile experience that will captivate the imagination of any learner in any mode. Its optional garaged stylus pen allows students to take notes by hand, while enabling teachers to mark papers onscreen. The Chromebook app hub features resources for students and teachers alike, plus the optional Google Workspace for Education and a Chrome Education Upgrade."
"ASUS Chromebook CX1500CKA 15.6"" FHD",computers/laptops,Intel Celeron N4500 - 8GB RAM - 64GB eMMC - ChromeOS - 1Y Warranty - AX WiFi6 + BT5.2 - Webcam - MicroSD Reader,552,"ASUS Chromebook CX1 is made for boosting productivity and having more fun while on the move - all day, every day. This laptop features up to a quad-core Intel® CPU for superior performance and dual-band WiFi 6 technology for superfast speeds, as well as enhanced portability and an up to 11-hour battery life. The slim-bezel design of the series fits more screen into the compact chassis for easy multitasking and incredibly immersive entertainment, and the device is your gateway to the best of Google, including the rich library of apps for work or play on the Google Play. With speedy performance, robust security and convenient features, ASUS Chromebook CX1 is not only perfect for students - it's ideal for anyone on the go!"
"ASUS Chromebook CX1500CKA 15.6"" FHD",computers/laptops,Intel Celeron N4500 - 8GB RAM - 64GB eMMC - ChromeOS - 1Y Warranty - AX WiFi6 + BT5.2 - Webcam - MicroSD Reader,552,"ASUS Chromebook CX11 is made for boosting productivity and having more fun while on the move - all day, every day. This laptop features up to a quad-core Intel® CPU for superior performance and dual-band WiFi 6 technology for superfast speeds, as well as enhanced portability and an up to 11-hour battery life. The slim-bezel design of the series fits more screen into the compact chassis for easy multitasking and incredibly immersive entertainment, and the device is your gateway to the best of Google, including the rich library of apps for work or play on the Google Play2. With speedy performance, robust security and convenient features, ASUS Chromebook CX1 is not only perfect for students - it's ideal for anyone on the go!
Modern, stylish and ultraportable"
"HP Chromebook 14a-na0062tg 14"" HD",computers/laptops,Intel Pentium N5030 - 4GB RAM - 128GB eMMC - ChromeOS - 1Y Warranty - AC WiFi 5 + BT5 - Webcam - Backlit Keyboard,563.5,
"ASUS Chromebook CX1500CKA 15.6"" FHD",computers/laptops,Intel Celeron N4500 - 8GB RAM - 128G eMMC - ChromeOS - 1Y Warranty - AX WiFi6 + BT5.2 - Webcam - MicroSD Reader,571.55,"ASUS Chromebook CX11 is made for boosting productivity and having more fun while on the move - all day, every day. This laptop features up to a quad-core Intel® CPU for superior performance and dual-band WiFi 6 technology for superfast speeds, as well as enhanced portability and an up to 11-hour battery life. The slim-bezel design of the series fits more screen into the compact chassis for easy multitasking and incredibly immersive entertainment, and the device is your gateway to the best of Google, including the rich library of apps for work or play on the Google Play2. With speedy performance, robust security and convenient features, ASUS Chromebook CX1 is not only perfect for students - it's ideal for anyone on the go!
Modern, stylish and ultraportable"
"ASUS Chromebook CX1500CKA 15.6"" FHD",computers/laptops,Intel Celeron N4500 - 8GB RAM - 128G eMMC - ChromeOS - 1Y Warranty - AX WiFi6 + BT5.2 - Webcam - MicroSD Reader,571.55,"ASUS Chromebook CX11 is made for boosting productivity and having more fun while on the move - all day, every day. This laptop features up to a quad-core Intel® CPU for superior performance and dual-band WiFi 6 technology for superfast speeds, as well as enhanced portability and an up to 11-hour battery life. The slim-bezel design of the series fits more screen into the compact chassis for easy multitasking and incredibly immersive entertainment, and the device is your gateway to the best of Google, including the rich library of apps for work or play on the Google Play2. With speedy performance, robust security and convenient features, ASUS Chromebook CX1 is not only perfect for students - it's ideal for anyone on the go!
Modern, stylish and ultraportable"
Acer C734-C1SD Chromebook + Targus Bag & Met Product Care Bundle,computers/laptops,"11.6"" HD - Intel Celeron N4500 - 4GB RAM - 32GB eMMC - AC WiFi - Webcam - ChromeOS - 3 Years Warranty",573.86,"Terms and conditions (Dec 1.1 2021)
Overview
Manaiakalani Device Care (MDC) is a safeguard for your Chromebook against accidental loss, theft and damage. It includes priority customer support, multiple complete repair services, and replacement of your device where necessary. MDC is not an insurance product. The Manaiakalani Education Trust is the provider of the product, which is to be administered by Acer. The MDC provides you with benefits in addition to the Consumer Guarantees Act. Namely repair or replacement where standard limited warranty does not cover the damage or failure.
Consumer Rights"
"HP Remanufactured Chromebook Plus 15a-nb0033dx 15.6"" FHD",computers/laptops,Intel i3-N305 - 8GB RAM - 128GB UFS - ChromeOS - 1yr warranty - AX WiFi6 + BT5 - Webcam,575,
"Lenovo Chromebook Duet G2 10.95"" WUXGA Touch",computers/laptops,MediaTek Kompanio 838 - 4GB RAM - 64GB eMMC - ChromeOS - 1Y Warranty - Lenovo USI Pen 2,577,"The Lenovo Chromebook Duet EDU G2 enables outside-the-box learning-in the classroom, at home or within a hybrid model. With a full metal chassis, strong Corning glass and a rugged, TPU covered case design, the device is engineered to endure. The AI-enhanced MediaTek Kompanio 838 processor, up to 128 storage support and up to 8GB LPDDR4 memory allows educators to power through complex workflows with ease. Take collaboration everywhere you go, convert from laptop to tablet as needed and stay unplugged all day with 12 hours of battery life.
Your ultimate learning companion
Experience the freedom of learning on the go with the Lenovo Chromebook Duet EDU G2. Designed for durability, it integrates effortlessly into any educational environment and provides access to vital resources for both students and teachers. The brilliant 11"" screen comes with a 2K resolution display, 16:10 panel and a 400-nit brightness to deliver vibrant, crystal-clear visuals, even in outdoor settings."
"Lenovo 14e G3 14"" FHD Chromebook",computers/laptops,Intel N100 - 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty,630,"The power to learn
With Intel® processors and plenty of RAM and storage, the Lenovo 14e Chromebook Gen 3 helps educators power through their day and students power through their lessons. An improved display and enhanced Waves Audio help learning come to life in vivid detail.
  Staying connected
The Lenovo 14e Chromebook Gen 3 features Wi-Fi 6/6E, for fast, reliable connection for downloads, uploads, and streaming. Plenty of ports help teachers connect to projectors and smart boards at school, or help students connect to external monitors and headphones at home."
"HP 14s-dq3128TU 14"" HD",computers/laptops,Intel Celeron N4500 - 8GB RAM - 256GB SSD - Win 11 Home in S mode - 1Y Warranty - AC WiFi 5 + BT5.0 - USB-C (Data Only) - HDMI1.4b,636.57,
"ASUS Vivobook Go 15 L510KA 15.6"" FHD",computers/laptops,Intel Pentium Silver N6000 - 8GB RAM - 256GB SSD - Win 11 Home S Mode - AC WiFi 5 + BT5.1 - Webcam - HDMI1.4,667,"ASUS L510 - Move with style
Life is all about finding the right balance, and ASUS L510 delivers just that. Lightweight and compact, it sports a stylish new look that fits right in with your dynamic lifestyle. Designed for daily computing and productivity while boasting innovative features, ASUS L510 gives you everything you need for work or play.
  Mobility - Get it done, anywhere
With the compact and lightweight ASUS L510, productivity is always within reach. It easily slips into your backpack or small bag so you can get schoolwork done or create content wherever you are."
"HP 14-ep0792wm 14"" HD Laptop",computers/laptops,Intel Core i3-N305 - 8GB RAM - 256GB SSD - Win 11 Home - 1Y Warranty,675.74,
"Acer Aspire Go 15 AG15-31P-3947 15.6"" FHD",computers/laptops,Intel Core i3-N305 - 8GB RAM - 128GB UFS - Win 11 Home S Mode - AX WiFi 6 + BT5.1 - HDMI - 1yr warranty,690,"Aspire Go Intel
Experience the Aspire Go - a laptop that embraces simplicity without compromise. Thoughtfully designed for effortless use, it's equipped with all the essential features you need to stay connected and productive.
  Exceptional Performance and Productivity
Experience smooth and responsive performance powered by an Intel® Core™ processor and 8GB memory and 128GB SSD. Enjoy extended productivity thanks to exceptional battery life and the support of Copilot, your everyday AI companion."
"Lenovo 300e G4 11.6"" HD Touch Chromebook",computers/laptops,MediaTek MT8186 - 8GB RAM - 64GB eMMC - ChromeOS - 1Y Warranty,691,"Lenovo 300e Yoga Chromebook Gen 4
- The flexibility to learn anywhere
- Durable 11.6-inch Chromebook, designed for on-the-go students
- Powered by MediaTek processors, with integrated graphics
- Runs seamlessly & securely on ChromeOS
- Multitouch HD screen, with optional garaged pen
- All-day battery life, superb audio, & superfast WiFi 6"
"ASUS Vivobook 14 X1404ZA 14"" FHD",computers/laptops,Intel Core i3-1215U - 8GB RAM - 128GB SSD - Win 11 Home S Mode - AX WiFi 6E + BT - Webcam - HDMI1.4 - 1Y Warranty,701.5,"Turn everyday tasks into something special with Vivobook 14, your essential tool for getting things done easier, anywhere. It's completely user-friendly too, with its 180° lay-flat hinge and physical webcam shield. ASUS Antimicrobial Guard Plus protects frequently-touched surfaces from harmful bacteria, safeguarding your health. Make all your days more enjoyable with Vivobook 14!
Power on tap
With Vivobook 14, you're always ready to take on any everyday task, whether it's work, play or entertainment. Whatever you need to achieve, there's always plenty of computing power on tap with the up to 12th Gen Intel® Core™ processor, 16 GB of fast memory, 512 GB of speedy SSD storage and comprehensive range of wireless connectivity up to WiFi 6E8 allows you to load online content in the blink of an eye."
"ASUS Vivobook Go E1504FA 15.6"" FHD",computers/laptops,AMD Ryzen 3 7320U - 8GB RAM - 128GB SSD - Win 11 Home S - AC WiFi 5 + BT4.1 - Webcam - USB-C & HDMI - 1yr warranty,701.5,"ASUS Vivobook Go 15 - Be productive as you Go
It's light. It's compact. It's the ASUS Vivobook Go 15, and it's designed to make you productive and keep you entertained wherever you go! With its 180° lay-flat hinge, physical webcam shield and loads of thoughtful design features - including a gorgeous display -Vivobook Go 15 is the laptop that sets you free!
  Display - Clearly superior display
Vivobook Go 15 has stunningly crisp and clear visuals, with a reduced risk of eye strain during long viewing sessions thanks to its TUV Rheinland eye-care certified panel. The NanoEdge slim-bezel design gives you more screen space for multitasking and immersive viewing."
"ASUS Vivobook 14 X1404ZA 14"" FHD Te Reo Maori Keyboard",computers/laptops,Intel Core i3-1215U - 8GB RAM - 128GB SSD - Win 11 Home S Mode - AX WiFi 6E + BT - Webcam - HDMI1.4 - 1Y Warranty,701.5,"Turn everyday tasks into something special with Vivobook 14, your essential tool for getting things done easier, anywhere. It's completely user-friendly too, with its 180° lay-flat hinge and physical webcam shield. ASUS Antimicrobial Guard Plus protects frequently-touched surfaces from harmful bacteria, safeguarding your health. Make all your days more enjoyable with Vivobook 14!
Power on tap
With Vivobook 14, you're always ready to take on any everyday task, whether it's work, play or entertainment. Whatever you need to achieve, there's always plenty of computing power on tap with the up to 12th Gen Intel® Core™ processor, 16 GB of fast memory, 512 GB of speedy SSD storage and comprehensive range of wireless connectivity up to WiFi 6E8 allows you to load online content in the blink of an eye."
"Acer NZ Remanufactured Swift 3 SF314-43-R644 NX.AB1SA.00B 14"" FHD Laptop",computers/laptops,AMD Ryzen 3 5300U - 8GB RAM - 256GB SSD - AX WiFi 6 + BT - Webcam - Win 11 Home - Acer / Local 1Y Warranty,702.28,
"Lenovo 500e Yoga G4 12.2"" WUXGA Touch Chromebook",computers/laptops,Intel Celeron N100 - 4GB RAM - 32GB eMMC - Chrome OS - 1Y Warranty,714,"2-in-1 adaptability for learning
Why buy an everyday Chromebook when you can buy a flexible 2-in-1 ChromeOS device with a touchscreen? The Lenovo 500e Yoga Chromebook Gen 4 easily adapts to all the ways learning occurs today. Use it as a standard laptop for writing papers or doing research. Or use the rugged, 360° hinge to flip around the display to create a tablet for easy note taking-or sketching using the optional garaged Lenovo Rechargeable USI Pen. It also offers tent and stand modes ideal for sharing your screen with the class-or just kicking back to stream a movie.
  Show & tell-& touch"
"Acer TravelMate P214 TMP214-53-52QC 14"" FHD",computers/laptops,Intel Core i5-1135G7 - 8GB RAM - 256GB SSD - Win 10 Home (Free Upgradable to Win 11) - AX WiFi6 + BT5.1 - Webcam - Thunderbolt4 - HDMI - Backlit Keyboard - RJ45 - SD Card Reader,747.5,"TravelMate P2
With the TravelMate P2, it has never been easier to work away from the office. Step up your productivity through a combination of increased processing power, portability, and durability bundled with a wide range of handy business features and advanced connectivity options. For the professional on the road, there's no better choice.
  Refined Elegance
Coming in an elegant and sturdy matte black chassis weighing just 1.6kg and less than 20mm thin, the TravelMate P2 combines style, functionality, and portability all into one device. The FHD IPS display boasts increased brightness, expanded contrast, and amazingly accurate colors with new, narrower bezels for a sleeker look and a more productive workday."
"Acer NZ Remanufactured NX.VR3SA.005 Flip 2in1 Edu Laptop 11.6"" FHD Touch",computers/laptops,Intel Pentium Silver N6000 - 4GB RAM - 128GB SSD - AX WiFi 6 + BT - Webcam - MicroSD Card Reader - Win 11 Pro - Acer / Local 1Y Warranty,761.36,"Acer NZ Remanufactured NX.VR3SA.005 11.6"" FHD Touch Flip Edu Laptop Intel Pentium N6000 - 4GB RAM - 128GB SSD - AX WiFi 6 + BT - Webcam - MicroSD Card Reader - Win 11 Pro - Acer / Local 1Y Warranty"
"ASUS Vivobook 14 X1404ZA 14"" FHD",computers/laptops,Intel Core i3-1215U - 8GB RAM - 256GB SSD - Win 11 Home S Mode - AX WiFi 6E + BT - Webcam - HDMI1.4 - 1Y Warranty,782,"Turn everyday tasks into something special with Vivobook 14, your essential tool for getting things done easier, anywhere. It's completely user-friendly too, with its 180° lay-flat hinge and physical webcam shield. ASUS Antimicrobial Guard Plus protects frequently-touched surfaces from harmful bacteria, safeguarding your health. Make all your days more enjoyable with Vivobook 14!
Power on tap
With Vivobook 14, you're always ready to take on any everyday task, whether it's work, play or entertainment. Whatever you need to achieve, there's always plenty of computing power on tap with the up to 12th Gen Intel® Core™ processor, 16 GB of fast memory, 512 GB of speedy SSD storage and comprehensive range of wireless connectivity up to WiFi 6E8 allows you to load online content in the blink of an eye."
"Acer Chromebook Plus 514 CB514-4HT 14"" FHD Touch",computers/laptops,Intel Core i3-N305 - 8GB RAM - 512GB SSD - ChromeOS - WiFi + BT - USB-C (with PD),793.5,"Acer Chromebook Plus 514 - A Chromebook Designed for Your Dynamic Lifestyle
Powered by  Intel® Core™ Processor and a 14"" Full HD display, the Acer Chromebook Plus 514 is designed to empower your productivity. And with up to double the speed, memory, and storage - plus popular apps - you have the power to do more.
  Expand Your Chromebook's Potential
Powered with Intel® Core™ processor this Chromebook Plus offers more than just a performance score, advancing real-world computing and delivering efficient multi-tasking."
"Acer TravelMate P214 TMP214-53-52QC 14"" FHD",computers/laptops,Intel Core i5-1135G7 - 8GB RAM - 256GB SSD - Win 11 Home - AX WiFi6 + BT5.1 - Webcam - Thunderbolt4 - HDMI - Backlit Keyboard - RJ45 - SD Card Reader,793.5,"TravelMate P2
With the TravelMate P2, it has never been easier to work away from the office. Step up your productivity through a combination of increased processing power, portability, and durability bundled with a wide range of handy business features and advanced connectivity options. For the professional on the road, there's no better choice.
  Refined Elegance
Coming in an elegant and sturdy matte black chassis weighing just 1.6kg and less than 20mm thin, the TravelMate P2 combines style, functionality, and portability all into one device. The FHD IPS display boasts increased brightness, expanded contrast, and amazingly accurate colors with new, narrower bezels for a sleeker look and a more productive workday."
